YEAR,FAC_NO,FAC_NAME,BEG_DATE,END_DATE,COUNTY_NAME,TYPE_CNTRL,PATIENT_DAYS,TOT_HC_REV,TOT_HC_EXP,NONHC_NET,INC_TAX,EXT_ITEM,NET_INCOME
2015,206010734,CROWN BAY NURSING AND REHABILITATION CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,44998,"$14,373,456.00 ","$13,418,298.00 ",$0.00 ,"$12,590.00 ",$0.00 ,"$942,568.00 "
2014,206010734,CROWN BAY NURSING AND REHABILITATION CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,44246,"$12,948,059.00 ","$12,287,079.00 ",$0.00 ,"$12,590.00 ",$0.00 ,"$648,390.00 "
2013,206010734,CROWN BAY NURSING AND REHABILITATION CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,42097,"$12,758,696.00 ","$11,698,888.00 ",$0.00 ,"$12,590.00 ","($30,174.00)","$1,077,392.00 "
2012,206010734,CROWN BAY NURSING AND REHABILITATION CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,43421,"$11,868,015.00 ","$11,046,671.00 ",$0.00 ,"$12,590.00 ",$0.00 ,"$808,754.00 "
2011,206010734,CROWN BAY NURSING AND REHABILITATION CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,42496,"$11,419,064.00 ","$10,617,677.00 ",$0.00 ,"$12,590.00 ",$0.00 ,"$788,797.00 "
2015,206010744,ASHBY CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,10922,"$1,760,375.00 ","$1,809,100.00 ",$0.00 ,$822.00 ,$0.00 ,"($49,547.00)"
2014,206010744,ASHBY CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,10274,"$1,848,492.00 ","$1,793,411.00 ",($596.00),$822.00 ,$0.00 ,"$53,663.00 "
2013,206010744,ASHBY CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,10935,"$1,835,632.00 ","$1,836,719.00 ",$195.00 ,"$8,613.00 ",$0.00 ,"($9,505.00)"
2012,206010744,ASHBY CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,10924,"$2,076,132.00 ","$1,876,065.00 ",$0.00 ,"$1,472.00 ",$0.00 ,"$198,595.00 "
2011,206010744,ASHBY CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,10536,"$1,936,396.00 ","$1,878,406.00 ",($861.00),$0.00 ,$0.00 ,"$57,129.00 "
2015,206010747,BANCROFT CONVALESCENT HOSPITAL,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,12365,"$3,776,883.00 ","$3,507,812.00 ","($41,612.00)",$0.00 ,$0.00 ,"$227,459.00 "
2014,206010747,BANCROFT CONVALESCENT HOSPITAL,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,10960,"$3,243,602.00 ","$3,247,990.00 ","($16,403.00)",$0.00 ,$0.00 ,"($20,791.00)"
2013,206010747,BANCROFT CONVALESCENT HOSPITAL,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,11237,"$3,404,914.00 ","$3,454,510.00 ","($24,631.00)",$0.00 ,$0.00 ,"($74,227.00)"
2012,206010747,BANCROFT CONVALESCENT HOSPITAL,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,11566,"$3,518,416.00 ","$3,481,836.00 ","($25,098.00)",$0.00 ,$0.00 ,"$11,482.00 "
2011,206010747,BANCROFT CONVALESCENT HOSPITAL,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,11546,"$3,486,455.00 ","$3,422,585.00 ","($22,329.00)",$0.00 ,$0.00 ,"$41,541.00 "
2015,206010749,ST. FRANCIS EXTENDED CARE,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,22063,"$6,132,931.00 ","$5,717,143.00 ","$1,372.00 ",$0.00 ,$0.00 ,"$417,160.00 "
